== 已剔除的现代要素 ==
  poi | {'amenity': 'parking'} | 1094938320
  poi | {'amenity': 'parking'} | 1094939741
  railway | {'railway': 'station'} | 江都
  railway | {'railway': 'station'} | 仪征
  poi | {'amenity': 'fuel'} | 1772789541
  poi | {'amenity': 'fuel'} | 1772789662
  poi | {'amenity': 'fuel'} | 1772789930
  poi | {'amenity': 'fuel'} | 1772789970
  poi | {'amenity': 'parking'} | 1846813676
  poi | {'amenity': 'parking'} | 1846815296
  railway | {'railway': 'station'} | 扬州
  poi | {'amenity': 'university'} | 扬州大学医学院
  poi | {'amenity': 'atm'} | 中国银行ATM
  poi | {'amenity': 'atm'} | 工商银行ATM
  poi | {'amenity': 'fuel'} | 2659019447
  poi | {'amenity': 'fuel'} | 2687958031
  poi | {'amenity': 'fuel'} | 2705192248
  poi | {'amenity': 'fuel'} | 2708532685
  poi | {'amenity': 'fuel'} | 2716420816
  poi | {'amenity': 'fuel'} | 2716420822
  poi | {'amenity': 'fuel'} | 2883348622
  railway | {'railway': 'station'} | 扬州东
  man_made | {'man_made': 'chimney'} | 3168088729
  man_made | {'man_made': 'chimney'} | 3168088730
  man_made | {'man_made': 'chimney'} | 3274337865
  man_made | {'man_made': 'chimney'} | 3274337882
  man_made | {'man_made': 'chimney'} | 3274337883
  man_made | {'man_made': 'chimney'} | 3504279492
  man_made | {'man_made': 'chimney'} | 3504279497
  man_made | {'man_made': 'chimney'} | 3504874011
  man_made | {'man_made': 'chimney'} | 3504874017
  man_made | {'man_made': 'tower'} | 3629212274
  poi | {'amenity': 'fuel'} | 3806655399
  man_made | {'man_made': 'chimney'} | 5126034588
  man_made | {'man_made': 'chimney'} | 5126035379
  man_made | {'man_made': 'wastewater_plant'} | 6992915051
  railway | {'railway': 'station'} | 扬州北
  railway | {'railway': 'station'} | 泰安镇
  poi | {'amenity': 'veterinary'} | 扬州大学动物医院
  man_made | {'man_made': 'antenna'} | 9245513872
  man_made | {'man_made': 'antenna'} | 9245513888
  man_made | {'man_made': 'antenna'} | 9245523934
  man_made | {'man_made': 'antenna'} | 9245523944
  man_made | {'man_made': 'antenna'} | 9245550445
  man_made | {'man_made': 'antenna'} | 9317698803
  man_made | {'man_made': 'antenna'} | 9317735273
  man_made | {'man_made': 'antenna'} | 9317735285
  man_made | {'man_made': 'antenna'} | 9317766499
  man_made | {'man_made': 'antenna'} | 9317766565
  man_made | {'man_made': 'antenna'} | 9317766577
  man_made | {'man_made': 'antenna'} | 9317775652
  man_made | {'man_made': 'antenna'} | 9317775653
  man_made | {'man_made': 'antenna'} | 9317788898
  man_made | {'man_made': 'antenna'} | 9317788906
  man_made | {'man_made': 'antenna'} | 9317896694
